正在爬取第1页
关于组织申报国家自然科学基金委员会交叉科学部  2023年专项项目（科技活动项目）的通知,2023-07-24,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0724/c791a226819/page.htm,,
关于组织申报2023年度国家自然科学基金委员会与韩国国家研究基金会合作研究项目的通知,2023-07-24,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0724/c791a226818/page.htm,,
关于组织申报2023年度国家自然科学基金委员会与巴基斯坦科学基金会合作研究项目的通知,2023-07-24,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0724/c791a226817/page.htm,,
关于第三届校师德先进评选结果的公示,2023-07-24,组织人事,党委教师工作部、人事处、院士工作办公室、博士后管理中心,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0724/c791a226816/page.htm,,
关于开展数学、英语暑期驻点答疑活动的通知,2023-07-23,教学考试,教务处（现代教育技术中心、藕舫学院）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0723/c791a226796/page.htm,,
关于开展“谨防溺水 安全一‘夏’ ”公益活动的通知,2023-07-23,其他,资产经营管理有限责任公司,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0723/c791a226795/page.htm,,
关于组织申报2023年度江苏省教育科学规划课题的通知,2023-07-22,科研信息,社会科学处（校社科联、自贸区研究院）,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0722/c791a226766/page.htm,,
关于7月23日明德楼部分教室因考试实行封闭管理的通知,2023-07-21,教学考试,管理工程学院,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0721/c791a226765/page.htm,,
南京信息工程大学滨江楼非机动车停车位改造工程项目中标结果公告,2023-07-21,招标信息,招标办,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0721/c791a226757/page.htm,,
南京信息工程大学自助打印机经营服务项目招标公告,2023-07-21,招标信息,招标办,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0721/c791a226752/page.htm,,
关于印发《南京信息工程大学通用办公设备和办公家具管理办法（试行）》的通知,2023-07-21,其他,资产管理处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0721/c791a226750/page.htm,,
关于印发《南京信息工程大学研究生工作位管理办法（试行）》的通知,2023-07-21,其他,资产管理处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0721/c791a226749/page.htm,,
关于举办2024年公务员考试笔试线上专项精讲公益课程的通知,2023-07-20,专题讲座,法政学院,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0720/c791a226745/page.htm,,
关于报送2023年度江苏省抽检硕士学位论文的通知,2023-07-20,其他,研究生工作部、研究生院、学科建设处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0720/c791a226742/page.htm,,
关于教师岗位优化调增校内岗位需求的通知,2023-07-20,组织人事,党委教师工作部、人事处、院士工作办公室、博士后管理中心,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0720/c791a226741/page.htm,,
关于组织教师参加全省高校青年教师思政微课大赛的通知,2023-07-20,其他,教师发展与教学评估中心,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0720/c791a226654/page.htm,,
关于组织申报吉安市生态气象重点实验室开放式研究基金项目的通知,2023-07-19,科研信息,科学技术处、国防军工科研处,https://client.vpn.nuist.edu.cn/https/webvpn2ed9b9d0d8f4605e927e12405d4aac6bacb1d0129bab1534677e8c3ee143f76a/2023/0719/c791a226643/page.htm,,
